				
Criteria 	Type	Range 	Normal	Preferred form
qSOFA				
Respiratory rate (RR) ≥ 22 breaths per minute,				
Altered mentation (Glasgow Coma Scale [GCS] < 15)				
Systolic blood pressure (SBP) < 100 mmHg.				
				
NEWS				
Respiration rate <8, >25				
Oxygen saturation <91				
Systolic blood pressure <90				
Pulse rate <40 >131				
Level of consciousness or new confusion				
Temperature <35 >39.1				
				
Present illness-Symptoms and signs specific to an infectious source- 				
Fever	Y/N			
Headache	Y/N			
Altered sensorium	Y/N			
Dyspnoea	Y/N			
Chest pain	Y/N			
Cough	Y/N			
Productive sputum	Y/N			
Vomiting	Y/N			
Loose stools	Y/N			
Pain abdomen	Y/N			
Local swelling	Y/N			
Wound/ulcer	Y/N			
Dysuria	Y/N			
Chills	Y/N			
Urgency to micturate	Y/N			
Others	Free text			
				
				
History				
Allergies	Y/N			
Co-morbidities				
Diabetes mellitus	Y/N			
Hypertension	Y/N			
Bronchial asthma	Y/N			
COPD	Y/N			
Tuberculosis	Y/N			
Ischemic heart disease	Y/N			
Chronic kidney disease	Y/N			
Chronic liver disease	Y/N			
Cancer	Y/N			
Cerebrovascular accident	Y/N			
Rheumatic heart disease	Y/N			
Others	Free text			
				
Past history				
Prior surgery	Y/N			
Recent hospitalization for similar complaint	Y/N			
Prolonged hospitalization	Y/N			
Previous Intubations	Y/N			
				
Drug history- to be typed	Free text			
Habits				
Smoking	Y/N			
Alcohol	Y/N			
Recreational drugs	Y/N			
				
Initial assessment 				
Airway Threatened Patent				RADIO
				
Breathing 				
RESPIRATORY RATE	Positive whole number	0 - 60	>12, <22 // ADD  - NR AT TOP 	MINUTE CHOOSER
SpO2 94-98 %@RA	Positive whole number	0 - 100	>91 //ADD - NR 	
				
Circulation				
Peripheries  - warm, cold				RADIO
Blood pressure recordable/ not recordable	ISSUE RADIO FOR NOT RECORDABLE - DISABLE BELOW FIELDS 			RADIO
BP systolic in mm Hg	Positive whole number	40 - 280	>90, <140	CHOOSER
BP diastolic in mm Hg	Positive whole number	40 - 200	>70, <100	CHOOSER
				
HR  60-90 bpm	Positive whole number	0 - 300 - / ADD  - NR AT TOP 	>50, <100 -	CHOOSER
CRT <2seconds	Y/N		N	RADIO
				
Disability				
Sensorium (AVPU)	Letter	A, V, P, U	A	LISTBOX
GCS	Positive whole number	01/03/15	15	CHOOSER
				
Pupils 				
				
Right				
Size	Positive whole number	01/05/24	>1, <4	CHOOSER
Reactive	Y/N		Y	RADIO
				
Left 				
Size	Positive whole number	01/05/24	>1, <4	CHOOSER
Reactive	Y/N		Y	RADIO
				
